,BHK,Location,Total_sqft,Bedroom,Bathroom,Price,price_per_sqft,Skewed_SP
0,1,"Thiruporur,OMR ,Chennai",450.0,1,1,19.95,4433.333333333333,3.0421386463681466
1,1,"Thirumazhisai, Chennai",500.0,1,1,22.685,4537.0,3.164841936375715
2,1,"Investment Apartment in Porur,Buddhar Colony, Porur,Chennai",328.0,1,1,25.0,7621.951219512195,3.258096538021482
3,1,"Siruseri,Chennai south,Chennai",476.0,1,1,26.56,5579.83193277311,3.3163654461454577
4,1,DRA Truliv Porur,328.0,1,1,26.49,8076.219512195122,3.3138223021771545
5,1,"Madurantakam, Chennai",450.0,1,1,20.0,4444.444444444444,3.044522437723423
6,1,"VIRAT VISHNU FLATS,Selaiyur, Chennai",500.0,1,1,24.5,4900.0,3.2386784521643803
7,1,"SUNDARAM PEARL,Selaiyur, Chennai",516.0,1,1,26.0,5038.759689922481,3.295836866004329
8,1,"On Request ,Guduvancheri, Chennai",350.0,1,1,12.32,3520.0,2.589266665112243
9,1,Jubliee Residences,326.0,1,1,12.32,3779.1411042944787,2.589266665112243
10,1,"CC Apartment,Egmore, Chennai",476.0,1,1,40.46,8500.0,3.7247291070076334
11,1,"Pothur, Chennai",350.0,1,1,11.0,3142.8571428571427,2.4849066497880004
12,1,"shivani homes,VOC Nagar, Pammal,Chennai",550.0,1,1,22.0,4000.0,3.1354942159291497
13,1,"akshaya cube,Choolaima Nagar, Thoraipakkam,Chennai",1500.0,1,1,1.61,107.33333333333333,0.9593502213346021
14,1,Sri Ramanujar Nagar,460.0,1,1,15.0,3260.8695652173915,2.772588722239781
15,1,Emami Tejomaya,498.0,1,1,29.5,5923.694779116466,3.417726683613366
16,1,"T Nagar, Chennai",470.0,1,1,40.0,8510.63829787234,3.713572066704308
17,1,"DJ Properties,Anthony Nagar, Kolathur,Chennai",519.0,1,1,36.0,6936.416184971098,3.6109179126442243
18,1,", Chennai",600.0,1,1,28.88,4813.333333333333,3.3971893602646164
19,1,"Padur, Chennai",338.0,1,1,16.0,4733.7278106508875,2.833213344056216
20,1,"Thiruporur,OMR ,Chennai",519.0,1,1,19.95,3843.9306358381505,3.0421386463681466
21,1,"Thirumazhisai, Chennai",519.0,1,1,22.685,4370.905587668593,3.164841936375715
22,1,"Investment Apartment in Porur,Buddhar Colony, Porur,Chennai",328.0,1,1,25.0,7621.951219512195,3.258096538021482
23,1,"Siruseri,Chennai south,Chennai",519.0,1,1,26.56,5117.533718689788,3.3163654461454577
24,1,DRA Truliv Porur,328.0,1,1,26.49,8076.219512195122,3.3138223021771545
25,1,"Madurantakam, Chennai",450.0,1,1,20.0,4444.444444444444,3.044522437723423
26,1,"VIRAT VISHNU FLATS,Selaiyur, Chennai",500.0,1,1,24.5,4900.0,3.2386784521643803
27,1,"SUNDARAM PEARL,Selaiyur, Chennai",516.0,1,1,26.0,5038.759689922481,3.295836866004329
28,1,"On Request ,Guduvancheri, Chennai",350.0,1,1,12.32,3520.0,2.589266665112243
29,1,Jubliee Residences,326.0,1,1,12.32,3779.1411042944787,2.589266665112243
30,1,"CC Apartment,Egmore, Chennai",476.0,1,1,40.46,8500.0,3.7247291070076334
31,1,"Pothur, Chennai",350.0,1,1,11.0,3142.8571428571427,2.4849066497880004
32,1,"shivani homes,VOC Nagar, Pammal,Chennai",550.0,1,1,22.0,4000.0,3.1354942159291497
33,1,"akshaya cube,Choolaima Nagar, Thoraipakkam,Chennai",1500.0,1,1,1.61,107.33333333333333,0.9593502213346021
34,1,Sri Ramanujar Nagar,460.0,1,1,15.0,3260.8695652173915,2.772588722239781
35,1,Emami Tejomaya,498.0,1,1,29.5,5923.694779116466,3.417726683613366
36,1,"T Nagar, Chennai",470.0,1,1,40.0,8510.63829787234,3.713572066704308
37,1,"DJ Properties,Anthony Nagar, Kolathur,Chennai",519.0,1,1,36.0,6936.416184971098,3.6109179126442243
38,1,", Chennai",600.0,1,1,28.88,4813.333333333333,3.3971893602646164
39,1,"Padur, Chennai",338.0,1,1,16.0,4733.7278106508875,2.833213344056216
40,1,"Thiruporur,OMR ,Chennai",519.0,1,1,19.95,3843.9306358381505,3.0421386463681466
41,1,"Thirumazhisai, Chennai",519.0,1,1,22.685,4370.905587668593,3.164841936375715
42,1,"Investment Apartment in Porur,Buddhar Colony, Porur,Chennai",328.0,1,1,25.0,7621.951219512195,3.258096538021482
43,1,"Siruseri,Chennai south,Chennai",600.0,1,1,26.56,4426.666666666667,3.3163654461454577
44,1,DRA Truliv Porur,328.0,1,1,26.49,8076.219512195122,3.3138223021771545
45,1,"Madurantakam, Chennai",450.0,1,1,20.0,4444.444444444444,3.044522437723423
46,1,"VIRAT VISHNU FLATS,Selaiyur, Chennai",500.0,1,1,24.5,4900.0,3.2386784521643803
47,1,"SUNDARAM PEARL,Selaiyur, Chennai",516.0,1,1,26.0,5038.759689922481,3.295836866004329
48,1,"On Request ,Guduvancheri, Chennai",350.0,1,1,12.32,3520.0,2.589266665112243
